measure,observed,simulation_mean,simulation_sd,lower_95,upper_95
Mean words per speaking turn,82.54222222222222,81.689712,33.95874613563743,40.19111111111111,157.21799999999996
Question-containing turns (%),32,31.913155555555555,3.0707410132119914,25.77777777777778,38.22222222222222
