simulation,mean_words,question_percent
1,42.675555555555555,30.666666666666664
2,42.12,31.555555555555554
3,85.78222222222222,30.666666666666664
4,121.94222222222223,29.777777777777775
5,80.73333333333333,32.44444444444444
6,91.24444444444444,37.77777777777778
7,113.08,33.77777777777778
8,54.85777777777778,23.555555555555554
9,110.74666666666667,31.555555555555554
10,91.06666666666666,28.444444444444443
11,121.77333333333333,31.555555555555554
12,50.315555555555555,30.666666666666664
13,57.653333333333336,32.88888888888889
14,44.08444444444444,32
15,56.004444444444445,29.333333333333332
16,55.57333333333333,32
17,79.84,31.11111111111111
18,76.1511111111111,33.33333333333333
19,57.51555555555556,25.77777777777778
20,42.77333333333333,31.11111111111111
21,48.33777777777778,29.333333333333332
22,49.71111111111111,28.888888888888886
23,74.8488888888889,28.888888888888886
24,81.05333333333333,29.333333333333332
25,147.64888888888888,30.22222222222222
26,76.29777777777778,38.22222222222222
27,83.15555555555555,34.66666666666667
28,112.5911111111111,33.77777777777778
29,43.062222222222225,32.44444444444444
30,41.98222222222222,30.22222222222222
31,63.64,31.11111111111111
32,50.48888888888889,32
33,82.4888888888889,35.11111111111111
34,113.61777777777777,31.555555555555554
35,83.04,35.55555555555556
36,90.39111111111112,35.55555555555556
37,85.65333333333334,32.44444444444444
38,120.36444444444444,26.666666666666668
39,86.21333333333334,29.333333333333332
40,117.56888888888889,30.666666666666664
41,82.42222222222222,32.88888888888889
42,53.96888888888889,31.555555555555554
43,53.56,33.33333333333333
44,79.16444444444444,36
45,80.11555555555556,31.555555555555554
46,82.65777777777778,36.44444444444444
47,93.85333333333334,27.555555555555557
48,55.266666666666666,28.444444444444443
49,84.4888888888889,26.666666666666668
50,43.81777777777778,28.888888888888886
51,82.36444444444444,28.888888888888886
52,44.284444444444446,32.88888888888889
53,119.30222222222223,32.44444444444444
54,51.586666666666666,33.77777777777778
55,78.28888888888889,24
56,119.89333333333333,35.55555555555556
57,154.71555555555557,34.66666666666667
58,84.57777777777778,34.22222222222222
59,83.06222222222222,33.33333333333333
