speaker,text,words,contains_question
JUSTICE SOTOMAYOR,"No, but you're arguing something else.     You're arguing that not dismissal is appropriate but confirming the arbitration award so it is final and settles the matter is not.",28,FALSE
MR. UNIKOWSKY,"Right, our --",3,FALSE
JUSTICE SOTOMAYOR,Because that's what you're arguing.,5,FALSE
MR. UNIKOWSKY,"We're arguing, Your Honor, that the Court doesn't have jurisdiction to confirm the award, as opposed to dismiss the federal case, because confirming the award is --",27,FALSE
JUSTICE SOTOMAYOR,"Then how can you dismiss it if you don't know if the arbitration award will be sustained, confirmed?",18,TRUE
MR. UNIKOWSKY,"Well, the vast majority of arbitration awards are never subject to confirm or vacate proceedings.",15,FALSE
JUSTICE SOTOMAYOR,"Well, but the point still remains, how does a court know that it's a defense to the action until it has decided that it's a valid award?",27,TRUE
MR. UNIKOWSKY,"No, because the award itself is the defense.      It functions like a release.    So, if a -- if a plaintiff files a lawsuit and the defendant --",27,FALSE
JUSTICE SOTOMAYOR,"Well, you can't claim an arbitration award that has been vacated, correct?",12,TRUE
MR. UNIKOWSKY,"That's correct.   So what a court could do -- so a court might not know if the arbitration award is going to be later subject to confirm or vacate proceedings in state court.    That could take several years. And so what a court would ordinarily do is dismiss the case.     Theoretically, if the award is vacated, they would typically rearbitrate it.    They wouldn't necessarily go back to the federal district court.       In a -- I'm sorry, Your Honor, do you have a question?",83,TRUE
JUSTICE SOTOMAYOR,"No, no.   Counsel, I'm having trouble understanding your lawsuit because I thought Spizzirri answered it already.    In Spizzirri, what we said was, where a court does have proper jurisdiction over a Section 9 or 10 application in a preexisting lawsuit -- and there was, under Section 3, a preexisting federal claim, so it had proper jurisdiction -- the court that stayed the action can and should, for efficiency's sake, adjudicate those applications as motions in the existing lawsuit. So this is a motion in an existing lawsuit -- that's what Section 9 and 10 are -- over a claim that had jurisdiction, age discrimination.    Why isn't this just a motion to confirm that?",113,TRUE
MR. UNIKOWSKY,"Well, Your Honor, so, in -- in Badgerow, the Court addressed the language in Section 6 about motions that Your Honor just referred to.     The Court said that it's not a motion.    It says that the court's going to treat the application as a motion for efficiency's sake.    So I don't think that the language in Section 6 carries the day.",61,FALSE
