speaker,text,words,contains_question
JUSTICE JACKSON,Can I just take you back to the original questions that I think Justice Sotomayor and Justice Kagan asked about treatment of this as a motion --,27,FALSE
JUSTICE JACKSON,"-- and Section 6. And I know that you referenced Badgerow's statement that the applications will get streamlined treatment as a motion, but Badgerow cited a case called Hall Street Associates for that proposition.    It quoted from Hall Street. And that entire quote says, ""will get streamlined treatment as a motion obviating the separate contract action that would usually be necessary to enforce or tinker with an arbitral award in court."" So it appears at least as of Hall Street, the -- the Court understood the way that this worked, that the reason why you're treating this as a motion is that it would mean that you wouldn't need another contract action in another court in order to enforce the award. Why -- why doesn't this undermine the argument that you're making now?",133,TRUE
MR. UNIKOWSKY,Because I -- I interpret that language in Hall and Badgerow differently.    Section 6 does not distinguish between applications in a freestanding case and applications that are associated with a preexisting case.    It's just a single rule that covers all FAA applications that says that they'll be treated like a motion. And what the Court said in Badgerow was what that means is not that it is a motion in a case in which there is jurisdiction. It'll just be treated like one.,83,FALSE
JUSTICE JACKSON,"I understand, but in Hall, it says the reason why it's treated as a motion is because it will obviate the separate contract action.    And what I'm confused about is how that could be consistent with your vision, which would require a separate contract.",44,FALSE
MR. UNIKOWSKY,"Well, I think there has to be jurisdiction over the contract action.    If there isn't jurisdiction, the court couldn't hear it.    And if there is jurisdiction, then, yes, you could -- the court could hear it as a motion and it would save a lot of time and effort. And Section 9 and 10 have these very specific service-of-process provisions.     And if the defendant is within the district, it's sort of easier to serve process than it is normally. And I think Section 6 is similar with that streamlined procedure, but that doesn't mean there is jurisdiction.     It simply talks about what happens if there is jurisdiction.",107,FALSE
JUSTICE JACKSON,Thank you.,2,FALSE
CHIEF JUSTICE ROBERTS,"Thank you, counsel. Mr. Geyser.",5,FALSE
MR. GEYSER,"Thank you, Mr. Chief Justice, and may it please the Court: Consistent with decades of established doctrine, federal courts with preexisting jurisdiction may resolve related claims in the same pending case, and nothing in the FAA or Badgerow overrides the ordinary jurisdictional rules in this setting. A federal court already vested with original jurisdiction has obvious power to hear FAA motions in that pending action.   There's no need to ask if there is a redundant basis for original jurisdiction because jurisdiction already exists, and any FAA motion falls squarely within a court's supplemental jurisdiction. This follows under the plain text of Title 28.   It adheres to ordinary jurisdictional principles, and it promotes the FAA's purpose and objectives, including facilitating the judiciary's supervisory role in enforcing awards. Petitioner's contrary approach contravenes Section 1367.   It is at odds with Badgerow, and it invites unworkable and untenable results.   Respondents are simply asking to go back to the same court to enter judgment and dismiss Petitioner's case, without having to bifurcate these proceedings, file new state law litigation, and endure a parallel federal appeal and chase down Petitioner to finally bring this case to a close. I welcome the Court's questions.",197,FALSE
JUSTICE THOMAS,How exactly does 1367 apply to a Section 9 application where there are no apparent claims?,16,TRUE
MR. GEYSER,Where the --,3,FALSE
JUSTICE THOMAS,Where the claims in a section -- in an application under Section 9?,13,TRUE
MR. GEYSER,"Well, I think it applies exactly under Section 1367.     You have an existing federal case which vests original jurisdiction.      The Section 9 claim, if you look at it as a state law analog, as a contractual resolution of the claim, as Badgerow did, then it -- there would be supplemental jurisdiction over that -- that state law claim. Now --",60,FALSE
JUSTICE THOMAS,But it's not a state claim.,6,FALSE
MR. GEYSER,"It -- it isn't, which I think is all the more reason that there clearly is jurisdiction under 1367.     1367 isn't limited to state law actions.      It's any claim that's so related to the original claim that it forms part of the same case or controversy.",46,FALSE
JUSTICE KAGAN,"Well, but it's the same nucleus of operative fact.      That's the -- that's the test.    How is this the same nucleus of operative fact?       It seems to me completely two different sets of facts.",34,TRUE
MR. GEYSER,"Well, I don't think so, Your Honor.    It's the -- it's the contractual resolution of the pending claim in the same case.",22,FALSE
JUSTICE KAGAN,"Well, but, Mr. Geyser, I mean, what -- what the -- I think Mr. Unikowsky said this -- what the -- the -- the second case is going to be about is something like did the arbitrator commit fraud. It's going to have nothing to do with the actual claims in the case.       You're not allowed to relitigate those.",59,FALSE
MR. GEYSER,"You -- you -- you're not, but I don't think that matters.       I don't think the test is are the elements coterminous.      It's do they -- are the claims so related they form part of the same case or controversy. The arbitration award is an affirmative defense in the case.      It's hard to see how something can be an affirmative defense to the claim in the case without being related to that case.",73,FALSE
JUSTICE KAGAN,"Yeah.   I think that that's just not 1367's focus.        1367 says we're -- we're not going to look sort of as an abstract matter as to whether two claims were brought by the same parties or have certain features or are connected with each other in a certain way, other than one particular way, which is are the facts the same in these two claims. And the facts are not going to be the same in these two claims.",79,FALSE
MR. GEYSER,"Well -- well, not all the facts, but -- but you're still asking -- this is a contractual resolution of the claim that is pending.    It's like saying that the judgment in a case is somehow unrelated to the original claim that produced the judgment. I -- I think it doesn't have to be the same.   We -- we absolutely -- I agree with my friend that these claims will not overlap. Often, they have nothing to do with each other, except --",83,FALSE
JUSTICE KAGAN,"Yeah, common nucleus of operative fact.       And often they have nothing to do with each other.      I would say almost always they have nothing to do with each other.",29,FALSE
MR. GEYSER,Well --,2,FALSE
JUSTICE KAGAN,How could that possibly be a common nucleus of operative fact?,11,TRUE
MR. GEYSER,"Well, it doesn't -- it's not that every fact has to share the same, you know, original atom.     It's the, is there a common nucleus of operative fact?",28,TRUE
JUSTICE BARRETT,"It's the great-great-grandchild of the original claim kind of tenuated on?     I mean, what -- is it a claim?   I mean, you -- you characterize it as an affirmative defense.       Not a counterclaim. Not a subsidiary claim.       It doesn't seem like it's a claim.",44,TRUE
MR. GEYSER,"Well, it's -- it's resolving -- I think it is resolving the claim in the sense that it is -- it is contractually, you know, disposing of the claim that has been brought. Now I will say that there's an entirely different way to look at this.       And part of the problem is that the FAA, as this Court has acknowledged, is unique. We have an unusual situation where we have a federal right under a federal statute that doesn't give rise to federal jurisdiction. And one analog is to say that the arbitration award is like a contractual settlement. So then confirming the award under the FAA, even though it's a federal statute, is like resolving a state law contract dispute, sort of like Kokkonen. Another analog, though, is just to say this is the federal directive on how a court decides what to do when the claim that's pending before it is now settled.       So, in the same way that Congress can provide rules of decision in Rule 23 to say, if you're going to settle a class action, do you accept the settlement or not, or attach conditions to Rule 41, or do exactly what the Court contemplated could have happened in Kokkonen --",207,FALSE
JUSTICE JACKSON,"And if that's the way you're looking at it, are you drawing on original jurisdiction then?",16,TRUE
MR. GEYSER,Yes.    It's --,3,FALSE
JUSTICE JACKSON,"I mean, that's not -- that's not a supplemental jurisdiction idea.",11,FALSE
MR. GEYSER,The -- then we don't need supplemental jurisdiction --,9,FALSE
JUSTICE JACKSON,Right.,1,FALSE
MR. GEYSER,-- which is why we offered two competing paths in our brief that lead to effectively the same result.,19,FALSE
JUSTICE BARRETT,"And it's not ancillary jurisdiction, just to clarify. You're saying that the original jurisdiction, the 1331 hook is carrying you all the way through?",24,TRUE
MR. GEYSER,"I think that is one way, I think, and a sensible way to look at it.        I think it's actually the way that -- that Cortez Byrd was contemplating, saying, of course, once you have an original case and you've stayed it under Section 3, then, of course, you have jurisdiction to resolve what's a motion in the pending case, just as Justice Kagan and Justice Jackson pointed out, to decide what to do with that contractual resolution of the single pending claim.",83,FALSE
JUSTICE KAVANAUGH,You heard his response on Cortez Byrd.      Do you want to -- your friend.   You want to react to that?,20,TRUE
MR. GEYSER,"Sure.   So I think -- I -- I think my friend is correct that Cortez Byrd was citing Marine Transit, which is a Section 8 case, but Cortez Byrd was not a Section 8 case. So the way I read Cortez Byrd and I think the way the courts have read Cortez Byrd is the Court was importing this common-sense intuitive proposition that happened to arise in the Section 8 context and putting it into the Section 9 through 11 context. And Cortez Byrd, by the way, was a 2002 decision.   It's been decades on the books. Courts have construed it exactly the same way. It was only until the Fourth Circuit --",113,FALSE
JUSTICE KAVANAUGH,"Most of the courts have gone that way, right --",10,FALSE
MR. GEYSER,"Well, I think --",4,FALSE
JUSTICE KAVANAUGH,-- most of the courts of appeals?,7,TRUE
MR. GEYSER,"I -- I think every court has gone that way.    The only one that hasn't was the Fourth Circuit, which, with -- with all due respect to the Fourth Circuit, I think just profoundly misread Badgerow.",36,FALSE
JUSTICE KAVANAUGH,"That's why I said ""most.""",5,FALSE
MR. GEYSER,"Yeah.    And -- and that -- that is -- and, in fact, when we say ""most,"" that -- that is effectively as far as we're aware the only court that has gone the other way.   I'm not aware of a single court before Badgerow that's gone the other way.",49,FALSE
JUSTICE GORSUCH,"Mr. Geyser, you've laid out two paths for us, one, the supplemental jurisdiction path, reliant on a statute that could never be accused of being overly precise.    The other would be the original jurisdiction path. I know what your answer's going to be, and it's going to be they're both great, Your Honor, but which one do you think, if forced to choose, is -- is the safer route and why?",71,TRUE
MR. GEYSER,"I mean, I -- I really do think that they're both great and I do think that they both work.",20,FALSE
JUSTICE GORSUCH,I knew -- I -- (Laughter.),6,FALSE
MR. GEYSER,So the --,3,FALSE
JUSTICE GORSUCH,"Any -- any -- any lawyer who -- who -- who doesn't say that isn't worth his salt where you wish to win, and I understand that.   But --",29,FALSE
MR. GEYSER,"I -- I think that -- and it really is that it's -- it's half -- you know, half in one hand, half in the other. It's -- I would say that you could say it's part of the original jurisdiction.     That's just a very easy way to resolve it.     We're in the same pending case.    We're trying to dispose of the original claims.",64,FALSE
JUSTICE KAGAN,"Your brief -- if I read your brief, your brief is a supplemental jurisdiction brief.",15,FALSE
MR. GEYSER,"Well, we -- we did make both arguments, and we did supplemental jurisdiction --",14,FALSE
JUSTICE KAGAN,"I mean, you made one in a couple of paragraphs, and you made the other in 50 pages.",18,FALSE
MR. GEYSER,"Well, we thought one --",5,FALSE
JUSTICE KAGAN,That might be a slight exaggeration.,6,FALSE
MR. GEYSER,"Well, no.   We thought one was so obvious that we were trying to help the Court if it decided to go the other way. But I -- I do think, though, that the reason that we were fronting 1367 is -- is because of the analogy that the Court drew in Badgerow, is that if you do think of this as a contractual resolution of the claim and then you think of it as a dispute over the -- that contractual settlement, then it -- it does look like it's a little bit different. And I do think that they clearly arise out of the same ultimate, you know, common nucleus of operative fact.      It's clearly the same case or controversy because, again, it is -- it is literally resolving the single controversy before the case, which is why, if you looked at how courts typically dispose of these actions, if they do retain jurisdiction, as every court outside the Fourth Circuit does, is that they say we're going to -- if we confirm the arbitration award, you enter judgment on the arbitration award and judgment on the underlying claim.    You do it in one fell swoop because it is effectively the same action.",204,FALSE
JUSTICE KAVANAUGH,"Can you respond to your friend's comments, picking up on Justice Breyer's dissent in Badgerow about incentives?",17,TRUE
MR. GEYSER,"The -- I think that it's really hard to see how there's an incentive to file an anchor suit for any number of reasons, including that courts -- just parties aren't doing that. Again, Cortez Byrd's language, you know, my friend can quibble whether it was overstated or improper, but Cortez Byrd's language was unequivocal.   If you imported that -- that sentence into this decision, you could write a one-page opinion with a holding that says we resolved this in Cortez Byrd. That was in 2002, and there hasn't been a single identified case of someone filing an anchor suit, and I think it's for similar reasons that Justice Sotomayor pointed out. It's a very odd litigant who's choosing an original venue not to litigate the case and not to compel -- not to compel arbitration, which is sometimes heavily contested, and that's what you'd be worried about, but thinking months or years down the road, what is this going to look like once we get that award?   Do I want to confirm it or vacate it?    And I'd rather be in federal court, so I'm going to file this preemptive federal action. And for some parties, it's not even an option.    If you're a plaintiff and you file the original lawsuit to litigate, then the -- it's not even clear.    You might have -- first, under Morgan versus Sundance, you might have forfeited your arbitration rights because you're trying to litigate.    And if the defendant doesn't move to compel arbitration, you're then out of luck.    I mean, you -- you showed up there.    It's -- it's your lawsuit. So I -- I don't think that those incentives actually play out. And if you're concerned about the practical consequences, I would look at the practical consequences of where my friend's position would lead courts and litigants.      It would create this -- this odd situation where a party finishes in federal court after the stay. Now -- now, apparently, they have to -- the federal court will either dismiss the case without knowing whether those claims are actually resolved or not, or they stay the case to wait, as my friend said, potentially several years for the post-arbitration motions to play out in state court. Now, if the court -- if the federal court does dismiss the case, now we have an even worse situation.   Now we have parallel proceedings, you have a federal appeal potentially contesting the pre-arbitration motion to compel arbitration because you can't take that until you have a final judgment in federal court.   And then you have the same litigants going to state court to challenge what happened in the arbitration itself. So, instead of having one proceeding up and running where parties have already paid a filing fee, they've found the defendant, they've effectuated service, they've maybe thought about venue, they thought about personal jurisdiction, everything is up and running where you can resolve it in one proceeding, take one appeal -- it's nice, neat, and tidy -- instead, you have now competing litigation in separate tracks in different court systems. I -- I think -- I don't think that's what Congress intended.    I think that would create what Cortez Byrd described as, you know, attributing to Congress a taste for the bizarre, and I do think that would be a bizarre situation.",557,TRUE
JUSTICE BARRETT,"I agree with you that it seems more practical and tidy to do it the way that you just described.   I'm wondering if you fronted the 1367 argument because, in some ways, it provides -- I mean, I still struggle with the common nucleus of operative fact and exactly where is the claim issues, but it provides a theoretical grounding. When I'm trying to think about 1331 just by itself, I'm trying to figure out what in 1331, if I'm blinded, I'm taking 1367 out of it, justifies the adjudication of a separate contract dispute.",95,FALSE
MR. GEYSER,"I think it would be exactly the same way that when a court invokes, say, Rule 23(e), it doesn't say do I have separate jurisdiction to decide whether to accept this settlement or not, or whether, in the Rule 41 context, do I have jurisdiction to decide whether to retain, you know, jurisdiction over the settlement to police it or to put it in the decree. I think -- I think it is part of the -- the original power to dispose of the claim.",85,FALSE
JUSTICE BARRETT,"And so, under that formulation, we're thinking of it more as a motion than a claim, which would be inconsistent with the 1367 theory, right?",25,TRUE
MR. GEYSER,"Debatably.   I think -- 1367, I think, has -- has been described as -- as quite broad.   I think it's pretty capacious. I think it can cover lots of things.      But, luckily for us, Section 6 under the FAA says treat these as motions. So, if -- if you want to treat the -- the -- this as a motion covered by original jurisdiction, you have a very easy path to do it.   It's consistent with Cortez Byrd.    It's consistent with the fact that Section 6 says treat this as a motion.      I think it's even consistent with Kokkonen. And, again -- and, again --",105,FALSE
JUSTICE BARRETT,Well --,2,FALSE
MR. GEYSER,"-- just to be clear, Kokkonen was dealing with a far more aggressive assertion of ancillary jurisdiction.         That was a dismissed case, and the parties were trying to get the court to reinvoke jurisdiction to decide something.",37,FALSE
JUSTICE BARRETT,"Okay.   Let's talk about Kokkonen.    What about Kokkonen's kind of Bucket 2, where Kokkonen says, well, it would be different if the court had reserved in the dismissal the authority to enforce the terms of the settlement?    You didn't push that particularly hard.       Why?",44,TRUE
MR. GEYSER,"Well, I -- we did, and I'm sorry if it wasn't clear that we did. Here, it's even better.         You don't -- you don't have a dismissal.    You have existing pending claims in a pending case. So Kokkonen, again, is a much harder case.   There, the Court's saying, I'm going to dismiss this action and I'm going to retain jurisdiction just in case something happens down the road.    Here, we have pending federal claims. And if you -- and you don't even know what to do with these claims.        So I think, with all due respect to my friend, I think he's incorrect.   To dismiss the case without knowing whether the arbitration award will ultimately stand doesn't make any sense.    If the award is ultimately vacated, the parties could very well say, you know what, that was a waste of time, let's just litigate in court.",146,FALSE
JUSTICE BARRETT,So is ancillary jurisdiction of the sort -- ancillary enforcement jurisdiction of the sort that Kokkonen talks about applicable here?    Is that a coherent way to think about this?,29,TRUE
MR. GEYSER,"I -- I think you could. Now I -- I do think that this raises a slight complexity about -- to the extent 1367 has displaced or captured ancillary jurisdiction, but I think the very fact that Kokkonen contemplated that a court could retain jurisdiction to decide those subsequent settlement disputes suggests that this would be covered then by 1367.",60,FALSE
JUSTICE BARRETT,"Well, that's why I said enforcement jurisdiction.    I think that's different because nobody really disputes that a court could exercise enforcement -- ancillary enforcement jurisdiction over, say, a contempt proceeding.    So that would be different.   It wouldn't be subsumed by 1367 the same way.",44,FALSE
MR. GEYSER,"We -- we think that works perfectly well, and I think it's -- it's a sensible way to look at this. I do want to address just very quickly the Section 8 argument about does the text of Section 8 somehow preclude jurisdiction under 1331 or 1332 or 1367, and I think it quite clearly doesn't. Section 8 is a maritime provision, and it starts off by saying, notwithstanding anything else going on, so this is Congress's attempt to say we're creating a self-contained unit to deal specifically with admiralty and we're going to provide specific rules for that context. In order for that to preclude the assertion of jurisdiction elsewhere -- because, again, we're not relying on the FAA for jurisdiction; we're relying on Title 28 -- it would have to show that Congress in Section 8 was thinking, I'm going to foreclose jurisdiction for every non-maritime case, the overwhelming swath of cases that arise under the FAA, simply by creating a specific rule of decision for that narrow context.",171,FALSE
JUSTICE KAGAN,"Mr. Geyser, just going back to this, oh, it's just a motion in a case, if you have jurisdiction in a case, of course, you have jurisdiction over this too, I mean, this is a very unusual kind of motion, right? It's a motion which could have been brought as a freestanding suit, which is -- which is essentially a freestanding suit and a freestanding suit in which there would have been no jurisdiction. So notwithstanding that there's this sort of, like, unusual posture in which it appears as, like, a motion in another suit, we all know that it's a different suit and a different suit in which there is no jurisdiction.   So why do you -- why does that carry you home?",124,TRUE
MR. GEYSER,"Well, I -- I think it's -- it's not quite just an entirely different suit because, again, it's -- it's a motion with a different nature of claim to resolve the original pending claim. So I -- I do think, again, just like Rule 23(e) is not a different suit, the -- the parties settle class-wide --",57,FALSE
JUSTICE KAGAN,"I think what I mean of it as a different suit is it's a bunch of contract claims.   Let's say it's about, like, the arbitrator committed fraud and so my -- the contract is invalid.   That's what this suit is. That's what this motion is.    Call it whatever you want.   That's what this thing is.   And that has nothing to do with the employment action that's kicked off this whole thing.",71,FALSE
MR. GEYSER,"Except for the fact that it is resolving the employment action that kicked off this whole thing.    So, again, that's why I think you'd be -- it's really hard to say that resolving a claim is unrelated to the claim, even if the reason you resolved it, maybe you settled because they give you -- they offered you a lot of money or they -- they gave you something that you wanted.    That has nothing to do with the underlying factual allegations.   It's still resolving the claim. And that -- I think that shows why it's part of the same case or controversy.    I mean, it is literally resolving the case or controversy.   And -- and, again, I think a contrary view on that would say that an affirmative defense to a claim in a case doesn't arise or relate to that same case, which -- which it -- it's hard to even articulate the concept because it just doesn't make much sense. But, again, I think that's why they're -- we tried to offer two different paths in the brief because depending on which way you look at it, we're dealing with this odd hybrid that the FAA set up.    Again, no -- no one has ever applauded Congress for creating, you know, the world's cleanest statute.     It's five pages of the U.S. Code.    I think this Court is burdened with two or three cases a year, it seems, under this statute going back I don't know how many years. But looking at it here, I think what Cortez Byrd acknowledged, you know, two decades ago still holds.   Of course, if you have jurisdiction to stay the case under Section 3, you have jurisdiction to process it at the end of the day.",294,FALSE
CHIEF JUSTICE ROBERTS,"Thank you, counsel. Justice Thomas, anything further? Justice Alito? Justice Kagan? Justice Gorsuch? Justice Barrett, anything further? Justice Jackson? Thank you, counsel.",22,TRUE
MR. GEYSER,Thank you.,2,FALSE
CHIEF JUSTICE ROBERTS,"Rebuttal, Mr. Unikowsky?",3,TRUE
MR. UNIKOWSKY,"Thank you, Your Honor. I'd like to first begin with the discussion of Section 1331, which didn't occupy much of the briefing but did occupy much of the discussion this morning. I don't think that confirming the arbitration award can be justified under Section 1331 because that judgment is not the resolution of the original claim.       The original claim was a federal employment claim, and the resolution of that claim is that the claim cannot proceed in federal court because the parties agreed to arbitrate that claim. So just as a court dismisses a claim based on res judicata or release when it turns out that the parties have adjudicated the case in a different forum, the appropriate resolution of a federal claim is to dismiss it because the federal court can't hear it when it's being decided elsewhere. But confirming the arbitration award is different.   It's transforming the arbitration award into a judgment, and the practical difference there is that it allows Respondents to execute a money judgment against Petitioner.   So what happened here is that the parties agreed to arbitrate, and then this arbitrator entered the sanctions award, which is a money judgment against Petitioner, and then confirming the award transforms that contractual resolution of the claim into a federal judgment.   And that's not a federal judgment. The money judgment against Petitioner, which is the real practical effect of confirming this award, is not resolution of the original claim.    It's transforming the parties' agreement to adjudicate this in a contractual method into a federal judgment.    That's why I think extra jurisdiction is needed.    Section 1331 doesn't do the trick. And so then you get to Section 1367, and as some of the questions from the bench today made clear, there is no common nucleus effect.    I think Kokkonen is directly on point on this issue.    I understand, in Kokkonen, there is a dismissal rather than a stay, but as to the first head, as Kokkonen called it, of ancillary jurisdiction, the Court said it ""permits 'disposition by a single court of claims that are in varying respects and degrees factually interdependent,'"" which was very similar to the 1367 analysis. And then the Court held that the facts underlying respondent's dismissed claim for a breach of agency agreement and those underlying its claim for breach of settlement agreement have nothing to do with each other.    It would neither be necessary nor even particularly efficient that they'd be adjudicated together. And that reasoning is right on point here because, at core, the arbitration award is similar to a breach-of-settlement-agreement claim.   It's a -- it's a contractual way of resolving a dispute. And the Court insight from Kokkonen is parties that agree to resolve a dispute via contract who later dispute that contractual resolution are adjudicating a different dispute from the underlying federal dispute. I'd like to say a few words about Cortez Byrd.    You know, the Court has said that -- the Court has cautioned against, you know, giving too much credit to drive-by jurisdictional rulings.   And I think this is just the canonical case of a drive-by jurisdictional ruling. So, first of all, jurisdiction was conceded in that case under diversity jurisdiction.    Also, there was no Section 3 stay at all.    So the jurisdictional anchor issue was doubly not presented. Meanwhile, the Court was talking about what it had previously held in this case, Marine Transit, that everyone agrees is irrelevant.    The Court was also talking about a venue issue which was also conceded by one side in that discussion. And all of this in service of making an argument that's ultimately the argument we're making in this very case, which is that Congress would not have intended for a court's authority to hear a Section 9 or 10 stay application to depend on whether or not there is a preexisting suit on file. So I do understand that lots of lower courts have followed that statement from Cortez Byrd, which makes sense.   I think, when a lower court sees a sentence like that in the U.S. reports, much like in the Royal Canin case, which presented a very similar scenario, the courts will often go along with it.   That's essentially what happened here. But I think that, you know, this Court has, you know, the authority to check, as it did in Royal Canin, whether one sentence really establishes a holding.   And I think it just doesn't when you look at the posture of that case as compared to this one. Finally, in terms of the practical effects that Respondents identify, I don't think that they're that -- that significant.       I mean, what happens is, after there's an arbitration award, you go to the federal court and if a party says, look, we're planning to go to state court to confirm the award or vacate it, the federal court can say, look, okay, I'll wait to see whether or not the case ever comes back and I'll just delay the dismissal a little bit longer and they'll go to state court and -- and litigate there. I mean, you know, parallel federal and state litigation happens every day in our system of -- of -- in our -- in our federal system, and I don't think that the practical concerns here are any greater than they would be in any other case when you have parallel litigation across the federal and state systems. If there's no further questions, we'd ask the Court to reverse the judgment below.",919,FALSE
